,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
936,300,2006,7.6,52.0,742840,210.61,117
937,Match Point,2005,7.6,72.0,208344,23.09,124
938,Watchmen,2009,7.6,56.0,514032,107.51,162
939,Lord of War,2005,7.6,62.0,297335,24.15,122
940,Saw,2004,7.6,46.0,384674,56.0,103
941,Mysterious Skin,2004,7.6,73.0,66489,0.7,105
942,A Very Long Engagement,2004,7.6,76.0,71396,6.17,133
943,The Station Agent,2003,7.6,81.0,67891,5.74,89
944,21 Grams,2003,7.6,70.0,226611,16.29,124
945,Sympathy for Mr. Vengeance,2002,7.6,56.0,63858,0.05,129
946,25th Hour,2002,7.6,68.0,171175,13.06,135
947,The Butterfly Effect,2004,7.6,30.0,456512,57.94,113
948,I Am Sam,2001,7.6,28.0,144204,40.31,132
949,Battle Royale,2000,7.6,81.0,171068,,114
950,The Royal Tenenbaums,2001,7.6,76.0,271134,52.36,110
951,Y Tu Mamá También,2001,7.6,88.0,117221,13.62,106
952,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,673515,317.58,152
953,The Others,2001,7.6,74.0,342695,96.52,104
954,Enemy at the Gates,2001,7.6,53.0,246796,51.4,131
955,Traffic,2000,7.6,86.0,198077,124.12,147
956,Minority Report,2002,7.6,80.0,514922,132.07,145
957,American Psycho,2000,7.6,64.0,505651,15.07,101
958,The Thin Red Line,1998,7.6,78.0,175449,36.4,170
959,Mulan,1998,7.6,71.0,261716,120.62,88
960,Fear and Loathing in Las Vegas,1998,7.6,41.0,263262,10.68,118
961,Dark City,1998,7.6,66.0,190042,14.38,100
962,Lost Highway,1997,7.6,52.0,133274,3.8,134
963,Die Hard with a Vengeance,1995,7.6,58.0,367752,100.01,128
964,The Bridges of Madison County,1995,7.6,69.0,74623,71.52,135
965,Apollo 13,1995,7.6,77.0,274384,173.84,140
966,Three Colors: White,1994,7.6,88.0,66178,1.46,92
967,Falling Down,1993,7.6,56.0,175089,40.9,113
968,Dazed and Confused,1993,7.6,78.0,169578,7.99,102
969,My Cousin Vinny,1992,7.6,68.0,110233,52.93,120
970,Only Yesterday,1991,7.6,90.0,28182,0.45,118
971,Delicatessen,1991,7.6,66.0,81483,1.79,99
972,The Hunt for Red October,1990,7.6,58.0,183615,122.01,135
973,Home Alone,1990,7.6,63.0,496021,285.76,103
974,The Godfather: Part III,1990,7.6,60.0,367077,66.67,162
975,When Harry Met Sally...,1989,7.6,76.0,199360,92.82,95
976,The Little Mermaid,1989,7.6,88.0,241448,111.54,83
977,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,155741,78.76,85
978,Withnail & I,1987,7.6,84.0,41036,1.54,107
979,Lethal Weapon,1987,7.6,68.0,240091,65.21,109
980,Blood Simple,1984,7.6,83.0,89650,2.15,99
981,On Golden Pond,1981,7.6,68.0,28184,119.29,109
982,Mad Max 2: The Road Warrior,1981,7.6,77.0,168736,12.47,96
983,The Warriors,1979,7.6,65.0,95391,22.49,92
984,The Muppet Movie,1979,7.6,74.0,33387,76.66,95
985,Escape from Alcatraz,1979,7.6,76.0,124033,43.0,112
986,Watership Down,1978,7.6,64.0,34240,,91
987,Close Encounters of the Third Kind,1977,7.6,90.0,187699,132.09,138
988,The Long Goodbye,1973,7.6,87.0,26961,0.96,112
989,Duck You Sucker,1971,7.6,77.0,30751,0.7,138
990,Kelly's Heroes,1970,7.6,50.0,45929,1.38,144
991,Where Eagles Dare,1968,7.6,63.0,52799,,158
992,The Jungle Book,1967,7.6,65.0,168815,141.84,78
993,A Hard Day's Night,1964,7.6,96.0,40883,13.78,87
994,Breakfast at Tiffany's,1961,7.6,76.0,169385,,115
995,Giant,1956,7.6,84.0,34708,,201
996,Shane,1953,7.6,80.0,37678,20.0,118
997,From Here to Eternity,1953,7.6,85.0,44038,30.5,118
998,Lifeboat,1944,7.6,78.0,26871,,97
999,Dil Bechara,2020,6.6,,114185,,101
