,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
178,For a Few Dollars More,1965,8.2,74.0,236617,15.0,132
179,The Great Escape,1963,8.2,86.0,228175,12.1,172
180,Yojimbo,1961,8.2,,113462,,110
181,Judgment at Nuremberg,1961,8.2,60.0,70993,,179
182,Some Like It Hot,1959,8.2,98.0,247721,25.0,121
183,Wild Strawberries,1957,8.2,88.0,98581,,91
184,The Seventh Seal,1957,8.2,88.0,168758,,96
185,Dial M for Murder,1954,8.2,75.0,161332,0.01,105
186,Tokyo Story,1953,8.2,,54851,,136
187,Rashomon,1950,8.2,98.0,155499,0.1,88
188,All About Eve,1950,8.2,98.0,122443,0.01,138
189,The Treasure of the Sierra Madre,1948,8.2,98.0,116066,5.01,126
190,To Be or Not to Be,1942,8.2,86.0,31448,,99
191,The Gold Rush,1925,8.2,,103047,5.45,95
192,Sherlock Jr.,1924,8.2,,43486,0.98,45
193,Portrait of a Lady on Fire,2019,8.1,95.0,70682,3.76,122
194,Pink,2016,8.1,,40313,1.24,136
195,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,448649,54.51,115
196,The Invisible Guest,2016,8.1,,151821,,106
197,The Handmaiden,2016,8.1,84.0,120112,2.01,145
198,Mommy,2014,8.1,74.0,52106,3.49,139
199,Haider,2014,8.1,,51025,0.9,160
200,Logan,2017,8.1,77.0,664535,226.28,137
201,Room,2015,8.1,86.0,381103,14.68,118
202,Wild Tales,2014,8.1,77.0,181628,3.11,122
203,Soul,2020,8.1,83.0,238145,,100
204,Winter Sleep,2014,8.1,88.0,47890,0.17,196
205,PK,2014,8.1,,166302,10.62,153
206,OMG: Oh My God!,2012,8.1,,52684,0.92,125
207,The Grand Budapest Hotel,2014,8.1,88.0,725488,59.1,99
208,Gone Girl,2014,8.1,79.0,881015,167.77,149
209,Wolf Children,2012,8.1,71.0,39958,,117
210,Hacksaw Ridge,2016,8.1,71.0,449659,67.21,139
211,Inside Out,2015,8.1,94.0,632030,356.46,95
212,Barfi!,2012,8.1,,76784,2.8,151
213,12 Years a Slave,2013,8.1,96.0,651755,56.67,134
214,Rush,2013,8.1,74.0,441723,26.95,123
215,Ford v Ferrari,2019,8.1,81.0,311998,117.62,152
216,Spotlight,2015,8.1,93.0,430161,45.06,129
217,Song of the Sea,2014,8.1,85.0,53453,0.86,93
218,Kahaani,2012,8.1,,58588,1.04,122
219,Udaan,2010,8.1,,42883,0.01,134
220,Zindagi Na Milegi Dobara,2011,8.1,,69378,3.11,155
221,Prisoners,2013,8.1,70.0,616084,61.0,153
